TIEMPOS;DIA_SEMANA;DIA_NUMERO;MES;AÑO;HORA;MINUTO;SEGUNDO
1,2495231628417969;DOMINGO;3,0;1,0;2021,0;13,0;23,0;15,0
1,265305519104004;DOMINGO;3,0;1,0;2021,0;13,0;23,0;16,0
0,6028871536254883;DOMINGO;3,0;1,0;2021,0;13,0;23,0;17,0
0,5518567562103271;DOMINGO;3,0;1,0;2021,0;13,0;23,0;17,0
0,5042335987091064;DOMINGO;3,0;1,0;2021,0;13,0;23,0;18,0
0,43968915939331055;DOMINGO;3,0;1,0;2021,0;13,0;23,0;18,0
0,39376044273376465;DOMINGO;3,0;1,0;2021,0;13,0;23,0;19,0
0,3771638870239258;DOMINGO;3,0;1,0;2021,0;13,0;23,0;19,0
0,3586082458496094;DOMINGO;3,0;1,0;2021,0;13,0;23,0;20,0
0,2593710422515869;DOMINGO;3,0;1,0;2021,0;13,0;23,0;20,0
0,21350979804992676;DOMINGO;3,0;1,0;2021,0;13,0;23,0;20,0
0,20402240753173828;DOMINGO;3,0;1,0;2021,0;13,0;23,0;20,0
0,20686650276184082;DOMINGO;3,0;1,0;2021,0;13,0;23,0;20,0
0,2120048999786377;DOMINGO;3,0;1,0;2021,0;13,0;23,0;21,0
0,1976161003112793;DOMINGO;3,0;1,0;2021,0;13,0;23,0;21,0
0,20753240585327148;DOMINGO;3,0;1,0;2021,0;13,0;23,0;21,0
0,20288372039794922;DOMINGO;3,0;1,0;2021,0;13,0;23,0;21,0
0,20717859268188477;DOMINGO;3,0;1,0;2021,0;13,0;23,0;21,0
0,204132080078125;DOMINGO;3,0;1,0;2021,0;13,0;23,0;22,0
0,1625072956085205;DOMINGO;3,0;1,0;2021,0;13,0;23,0;22,0
0,1487290859222412;DOMINGO;3,0;1,0;2021,0;13,0;23,0;22,0
0,1498126983642578;DOMINGO;3,0;1,0;2021,0;13,0;23,0;22,0
0,17248058319091797;DOMINGO;3,0;1,0;2021,0;13,0;23,0;22,0
0,7018284797668457;DOMINGO;3,0;1,0;2021,0;13,0;23,0;23,0
0,927588701248169;DOMINGO;3,0;1,0;2021,0;13,0;23,0;24,0
1,260406255722046;DOMINGO;3,0;1,0;2021,0;13,0;23,0;25,0
1,517960786819458;DOMINGO;3,0;1,0;2021,0;13,0;23,0;27,0
1,3801305294036865;DOMINGO;3,0;1,0;2021,0;13,0;23,0;28,0
1,1786348819732666;DOMINGO;3,0;1,0;2021,0;13,0;23,0;29,0
1,4124643802642822;DOMINGO;3,0;1,0;2021,0;13,0;23,0;31,0
1,3771722316741943;DOMINGO;3,0;1,0;2021,0;13,0;23,0;32,0
1,3136043548583984;DOMINGO;3,0;1,0;2021,0;13,0;23,0;33,0
1,9361257553100586;DOMINGO;3,0;1,0;2021,0;13,0;23,0;35,0
1,2362277507781982;DOMINGO;3,0;1,0;2021,0;13,0;23,0;37,0
0,5559511184692383;DOMINGO;3,0;1,0;2021,0;13,0;23,0;37,0
0,396303653717041;DOMINGO;3,0;1,0;2021,0;13,0;23,0;37,0
0,3726975917816162;DOMINGO;3,0;1,0;2021,0;13,0;23,0;38,0
0,3798666000366211;DOMINGO;3,0;1,0;2021,0;13,0;23,0;38,0
0,3599083423614502;DOMINGO;3,0;1,0;2021,0;13,0;23,0;39,0
0,3659834861755371;DOMINGO;3,0;1,0;2021,0;13,0;23,0;39,0
0,2736351490020752;DOMINGO;3,0;1,0;2021,0;13,0;23,0;39,0
0,22576594352722168;DOMINGO;3,0;1,0;2021,0;13,0;23,0;39,0
0,19910955429077148;DOMINGO;3,0;1,0;2021,0;13,0;23,0;40,0
0,19840025901794434;DOMINGO;3,0;1,0;2021,0;13,0;23,0;40,0
0,1869368553161621;DOMINGO;3,0;1,0;2021,0;13,0;23,0;40,0
0,19178104400634766;DOMINGO;3,0;1,0;2021,0;13,0;23,0;40,0
0,21707797050476074;DOMINGO;3,0;1,0;2021,0;13,0;23,0;40,0
0,16134023666381836;DOMINGO;3,0;1,0;2021,0;13,0;23,0;41,0
0,17135953903198242;DOMINGO;3,0;1,0;2021,0;13,0;23,0;41,0
0,19820356369018555;DOMINGO;3,0;1,0;2021,0;13,0;23,0;41,0
0,24882268905639648;DOMINGO;3,0;1,0;2021,0;13,0;23,0;41,0
0,2934300899505615;DOMINGO;3,0;1,0;2021,0;13,0;23,0;42,0
0,3265390396118164;DOMINGO;3,0;1,0;2021,0;13,0;23,0;42,0
0,2959151268005371;DOMINGO;3,0;1,0;2021,0;13,0;23,0;42,0
0,2997410297393799;DOMINGO;3,0;1,0;2021,0;13,0;23,0;42,0
0,3262667655944824;DOMINGO;3,0;1,0;2021,0;13,0;23,0;43,0
0,3608238697052002;DOMINGO;3,0;1,0;2021,0;13,0;23,0;43,0
0,4766356945037842;DOMINGO;3,0;1,0;2021,0;13,0;23,0;44,0
0,4016427993774414;DOMINGO;3,0;1,0;2021,0;13,0;23,0;44,0
0,40290021896362305;DOMINGO;3,0;1,0;2021,0;13,0;23,0;44,0
0,3692312240600586;DOMINGO;3,0;1,0;2021,0;13,0;23,0;45,0
0,3251368999481201;DOMINGO;3,0;1,0;2021,0;13,0;23,0;45,0
